dct:title,MUSTERDATENSATZ,THEMA,BEZEICHNUNG,dct:description,dct:identifier,dcat:Distribution.dct:license,dcat:theme,updated_at,ORG,dcat:landingPage
Vornamenstatistik für Neugeborene in Kleve 2009 bis 2018,Bevölkerung - Vornamen,Bevölkerung,Vornamen,Der Datensatz enthält die Verteilung der Vornamen für Neugeborene des Jahres 2009 bis 2018,c4d78ade-175a-4082-90fc-0b69908b37e4,Datenlizenz Deutschland – Zero – Version 2.0,,2016-04-12T15:09:25.517216,Stadt Kleve,https://open.nrw/dataset/vornamenstatistik-fur-neugeborene-2009-in-kleve-odp
Wahlbezirke der Stadt Kleve,Wahlen - Wahlbezirke,Wahlen,Wahlbezirke,"Dieser Datensatz enthält sowohl die aktuelle, wie auch historische Wahlbezirkseinteilungen.",a823a0a5-9a80-437d-bf02-33fdc6ea455f,Datenlizenz Deutschland – Zero – Version 2.0,,2016-02-18T15:24:22.496211,Stadt Kleve,https://open.nrw/dataset/wahlbezirke-der-stadt-kleve-odp
Zugriffsstatistiken von Kleve.de 2016,Website - Zugriffe,Website,Zugriffe,Sammlung an Zugriffstatistiken der Klever Homepage 2016,0efdda95-e076-4ccc-88d7-8ce0947a6d97,Datenlizenz Deutschland – Zero – Version 2.0,,2016-02-22T11:27:18.730326,Stadt Kleve,https://open.nrw/dataset/zugriffsstatistiken-http-www-kleve-de-2016-odp
Zugriffsstatistiken von Kleve.de 2017,Website - Zugriffe,Website,Zugriffe,Sammlung an Zugriffstatistiken der Klever Homepage 2017! Der Datensatz wird monatlich um eine Ressource ergänzt,ee74ebf2-8fd6-49a8-84c2-745732128822,Datenlizenz Deutschland – Zero – Version 2.0,,2017-02-01T11:27:51.132568,Stadt Kleve,https://open.nrw/dataset/zugriffsstatistiken-von-kleve-de-2017-odp
Zugriffsstatistiken von kleve.de 2018,Website - Zugriffe,Website,Zugriffe,Sammlung an Zugriffsstatistiken der Klever Homepage 2018! Der Datensatz wird monatlich um eine Ressource ergänzt!,8eb4fa0a-e4ab-4f1d-a7a0-e30887f9d59f,Datenlizenz Deutschland – Zero – Version 2.0,,2018-02-01T08:27:38.145416,Stadt Kleve,https://open.nrw/dataset/zugriffsstatistiken-von-kleve-de-2018-odp
Zugriffsstatistiken von Kleve.de Dezember 2015,Website - Zugriffe,Website,Zugriffe,Sammlung von Zugriffsstatistiken der Homepage von Kleve für Dezember 2015,ab2edd47-e9ed-4b58-971b-627a9e2e0c75,Datenlizenz Deutschland – Zero – Version 2.0,,2016-02-22T11:14:22.546856,Stadt Kleve,https://open.nrw/dataset/zugriffsstatistiken-http-www-kleve-de-dezember-2015-odp
Stadt Moers: Abfallkalender 2014,Abfallwirtschaft - Abfallkalender,Abfallwirtschaft,Abfallkalender,,f7b2e639-e60d-4c59-a496-74f7c79129c7,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Umwelt,,Stadt Moers,https://open.nrw/dataset/nan
Stadt Moers: Abfallkalender 2015,Abfallwirtschaft - Abfallkalender,Abfallwirtschaft,Abfallkalender,,26189ebc-f19e-4eeb-b4d7-d6ec78001e2d,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Umwelt,,Stadt Moers,https://open.nrw/dataset/nan
Stadt Moers: Abfallkalender 2016 Stadt Moers,Abfallwirtschaft - Abfallkalender,Abfallwirtschaft,Abfallkalender,,25917f91-fdc4-4db1-b3ba-0b00002ed58c,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Umwelt,,Stadt Moers,https://open.nrw/dataset/nan
Stadt Moers: Abfallkalender Stadt Moers,Abfallwirtschaft - Abfallkalender,Abfallwirtschaft,Abfallkalender,,fe92e461-9db4-4d12-ba58-8d4439084e90,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Umwelt,,Stadt Moers,https://open.nrw/dataset/nan
Stadt Köln: Nach Abfallarten differenzierte entsorgte Abfallmenge Stadt Koeln,Abfallwirtschaft - Abfallmengen,Abfallwirtschaft,Abfallmengen,,d5fdf3d7-6678-4f80-a05d-20d18906119d,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Nach Abfallarten differenzierte erzeugte Abfallmenge Stadt Koeln,Abfallwirtschaft - Abfallmengen,Abfallwirtschaft,Abfallmengen,,1bd83218-86b7-4db6-a5e9-4fcd2d60a4d2,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Summe erzeugter und entsorgter Abfaelle Stadt Koeln,Abfallwirtschaft - Abfallmengen,Abfallwirtschaft,Abfallmengen,,01024664-4e3d-47f0-b404-fef2612dda1a,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Nach Abfallarten differenzierte entsorgte Abfallmenge der Stadt Düsseldorf,Abfallwirtschaft - Abfallmengen,Abfallwirtschaft,Abfallmengen,"Der Datensatz enthält das Aufkommen der verschiedenen Abfallarten in Düsseldorf ab 2009.Die Datei ""Aufkommen Abfallarten ab 2009"" enthält folgende Spalteninformationen:<ul><li>Abfallart: Benennung der Abfallart</li>	<li>2009 – 2017: Menge in Tonnen</li></ul>",ea062403-fd93-4304-8dc9-eca9eeb0c80c,http://dcat-ap.de/def/licenses/dl-by-de/2.0,Umwelt,,Düsseldorf,https://open.nrw/dataset/nach-abfallarten-differenzierte-entsorgte-abfallmenge-der-stadt-duesseldorf-d
Stadt Köln: Betriebshöfe in Köln,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,6e47444e-8286-4d5e-a72e-d3dac352ad6f,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Bürgerämter zur Abgabe von Elektrokleingeräten,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,5a06e5a7-be36-4206-be2b-9c05585e4dd7,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Bonn: Elektrokleingeräte Standorte von Sammelstellen,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,24d211ff-fa05-46db-935b-1440d000b41d,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Köln: Sammelstellen für Weihnachtsbäume in Köln,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,e12e1fd5-8d7d-42cd-8b38-e0e19b7624e4,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Schadstoff-Mobil in Köln,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,1dd8e210-85f2-4eb6-8a3f-b52b52f1f39a,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Wertstoff-Center in Köln,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,e347aedd-ba4a-4987-8fdb-b6ff22871a84,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Bonn: Wert- und Schadstoffsammelstellen,Abfallwirtschaft - Abgabestellen,Abfallwirtschaft,Abgabestellen,,392db819-f7b7-4867-9f77-ff15a5e3fd20,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Berichte der bonnorange AöR,Abfallwirtschaft - Beteiligungen,Abfallwirtschaft,Beteiligungen,,2f8c1bc3-5a5f-4d20-8f44-262008adcd4f,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Köln: AWB Hauptverwaltung,Abfallwirtschaft - Betriebe,Abfallwirtschaft,Betriebe,,802b955b-554a-4099-a933-999874fc9191,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Altkleider-Container in Köln,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,4b6c92ff-648c-41aa-a9e1-19b8c9c637af,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Kleiderkammern in Köln,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,963d5796-093f-4667-bc30-e98135fc9220,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Köln,https://open.nrw/dataset/nan
Stadt Bonn: Altglascontainer Standorte,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,2e7b1c15-8178-4493-a353-95193bfb2cff,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Alttextilcontainer Standorte,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,7ca997a9-4b20-404f-9974-da8735ef6633,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Altpapiercontainer Standorte,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,5ae6b48d-1070-4ae5-a725-9d48ebe35aef,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Moers: Containerstandorte in Moers,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,faea8cd6-5cd7-400c-be08-7822ef094946,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Umwelt,,Stadt Moers,https://open.nrw/dataset/nan
Stadt Bonn: Standorte der Grüncontainer,Abfallwirtschaft - Container,Abfallwirtschaft,Container,,e8d323d3-8b3e-4414-ab6f-060f348dea37,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Kennzahlen zur Stadtentwässerung 2015,Abfallwirtschaft - Entwässerung,Abfallwirtschaft,Entwässerung,,d02e9706-af6b-4f53-8681-e11b3e74c562,http://dcat-ap.de/def/licenses/cc-zero,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Kennzahlen zur Stadtenwässerung 2014,Abfallwirtschaft - Entwässerung,Abfallwirtschaft,Entwässerung,,480e731d-d3f4-473c-82f2-47ef0c473b58,http://dcat-ap.de/def/licenses/cc-zero,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Kennzahlen zur Stadtentwässerung 2013,Abfallwirtschaft - Entwässerung,Abfallwirtschaft,Entwässerung,,049aebf6-95a1-425d-a868-59f4c27a2f40,http://dcat-ap.de/def/licenses/cc-zero,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Sitzungen des Verwaltungsrates bonnorange AöR,Abfallwirtschaft - Gremien,Abfallwirtschaft,Gremien,,897d3965-cf34-4656-bffb-a1f859c39463,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Abfallplaner Müllabfuhrtermine 2016,Abfallwirtschaft - Müllabfuhr,Abfallwirtschaft,Müllabfuhr,,80f6a236-6479-4ddc-b3e9-4029d5350b3d,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Abfallplaner Müllabfuhrtermine 2017,Abfallwirtschaft - Müllabfuhr,Abfallwirtschaft,Müllabfuhr,,8ee1e1e9-ee6d-4148-98be-4835272f4132,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Abfallplaner Müllabfuhrtermine 2018,Abfallwirtschaft - Müllabfuhr,Abfallwirtschaft,Müllabfuhr,,684f4f79-e661-4cba-8e37-e0850e5e33ed,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Abfallplaner Müllabfuhrtermine 2015,Abfallwirtschaft - Müllabfuhr,Abfallwirtschaft,Müllabfuhr,,d73a72b2-7590-474b-8e08-c72d120bd764,http://dcat-ap.de/def/licenses/cc-by,Umwelt,,Bonn,https://open.nrw/dataset/nan
Müllgebühren der Stadt Düsseldorf,Abfallwirtschaft - Müllgebühren,Abfallwirtschaft,Müllgebühren,"Der Datensatz enthält die Müllgebühren – getrennt nach Abfallart - für die Stadt Düsseldorf.Die Stadt Düsseldorf ist für die Entsorgung der Abfälle aus privaten Haushalten verantwortlich. Die Entsorgung und Sammlung der Abfälle führt die AWISTA GmbH im Auftrag der Stadt durch.Die Gebühren der Abfallentsorgung werden durch den Rat beschlossen. Sie dienen nicht nur zur Finanzierung der Müllabfuhr, sondern auch einer Vielzahl an weiteren Serviceleistungen rund um die Entsorgung von Abfällen.In Düsseldorf stehen vier Tonnen zur Verfügung:<ul><li>Braune Tonne für Bioabfälle</li>	<li>Blaue Tonne für Papier</li>	<li>Gelbe Tonne für Wertstoffe</li>	<li>Graue Tonne für Restmüll</li></ul> <ul><li>Die Biotonnen werden 14-täglich gebührenpflichtig geleert.</li>	<li>Die Papiertonnen werden 14-täglich geleert und sind im Vollservice gebührenpflichtig, im Teilservice gebührenfrei.</li>	<li>Die Entsorgung der gelben Tonne ist gebührenfrei und erfolgt im 14-Tage-Rhythmus.</li>	<li>Die Restmüllentsorgung erfolgt im Vollservice. Für die Stadtteile Wittlaer, Kalkum, Angermund, Unterbach und Hubbelrath wurden Teilservicegebiete gebildet, für die es einen festen Abschlag auf die Leistungsgebühr gibt.</li></ul>Die Abfuhr der Bio- und Papiertonnen kann im gesamten Stadtgebiet im Voll- bzw. Teilservice erfolgen, wenn ein entsprechender Antrag genehmigt wurde.Beim Teilservice sind die 60 l – 240 l-Sammelbehälter zu den Leerungszeiten in nicht verkehrsbehindernder Weise im Straßenraum aufzustellen. Falls dieses nicht rechtzeitig am Tag der Leerung möglich ist, dürfen die Sammelbehälter bereits am Vortag der Leerung ab 20 Uhr entsprechend aufgestellt werden.Weitere Informationen zum Thema Abfallentsorgung und Abfallvermeidung finden Sie auf der Seite des Umweltamtes.Die Datei „Papiermüll“ enthält folgende Spalteninformation:<ul><li>Behälter: Größe der Tonne in Liter</li>	<li>Teilservice: Gebühr je Behälter für Teilservice</li>	<li>Vollservice: Gebühr je Behälter für Vollservice</li>	<li>Kellerzuschlag: Gebühr je Behälter </li></ul>Die Datei „Biomüll“ enthält folgende Spalteninformationen:<ul><li>Behälter: Größe der Tonne in Liter</li>	<li>Teilservice: Gebühr je Behälter für Teilservice</li>	<li>Vollservice: Gebühr je Behälter für Vollservice</li></ul>Die Datei „Restmüll“ enthält folgende Spalteninformationen:<ul><li>Behälter: Größe der Tonne in Liter</li>	<li>Grundgebühr: Grundgebühr pro Tonne</li>	<li>Leistungsgebühr/l/wöchentlich: Gebühr je Liter Müllbehältervolumen bei wöchentlicher Leerung</li>	<li>Leistungsgebühr/l/14-tägig: Gebühr je Liter Müllbehältervolumen bei 14-täglicher Leerung</li>	<li>Kellerzuschlag wöchentlich/Behälter: Gebühr je Behälter bei wöchentlicher Leerung</li>	<li>Kellerzuschlag 14-tägig/Behälter: Gebühr je Behälter bei 14-täglicher Leerung</li>	<li>Rabatt Eigenkompostierung wöchentlich/l: Rabatt je Liter bei Eigenkompostierung und wöchentlicher Leerung</li>	<li>Rabatt Eigenkompostierung 14-tägig/l: Rabatt je Liter bei Eigenkompostierung und 14-täglicher Leerung</li>	<li>Rabatt Teilservicegebiet wöchentlich: Rabatt pro Behälter im Teilservicebereich bei wöchentlicher Leerung</li>	<li>Rabatt Teilservicegebiet 14-tägig: Rabatt pro Behälter im Teilservicebereich bei 14-täglicher Leerung</li></ul>",4b7cae66-84df-492a-a818-a1e105f9b4ee,http://dcat-ap.de/def/licenses/dl-by-de/2.0,Umwelt,,Düsseldorf,https://open.nrw/dataset/muellgebuehren-der-stadt-duesseldorf-d
Stadt Köln: Bauen Und Wohnen Baufertigstellungen,Bau - Baufertigstellungen,Bau,Baufertigstellungen,,6f94253b-a2a9-4f96-8310-7bd90b556f74,http://dcat-ap.de/def/licenses/cc-by,Regierung und öffentlicher Sektor,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Baufertigstellungen Koeln,Bau - Baufertigstellungen,Bau,Baufertigstellungen,,4c87281d-9999-40a7-8e49-d8604c9b808c,http://dcat-ap.de/def/licenses/cc-by,Regierung und öffentlicher Sektor,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Bauen Und Wohnen Baugenehmigungen,Bau - Baugenehmigungen,Bau,Baugenehmigungen,,5e5190df-f48d-4ead-9b23-5d15001300f8,http://dcat-ap.de/def/licenses/cc-by,Regierung und öffentlicher Sektor,,Köln,https://open.nrw/dataset/nan
Stadt Bonn: Berichterstattung städtische Bauprojekte,Bau - Bauprojekte,Bau,Bauprojekte,,0ba8ef99-1012-4faa-9ab4-c20f8de859ed,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Stadt Köln: Bauprojekte staedtische Gebaeude Koeln,Bau - Bauprojekte,Bau,Bauprojekte,,8d3a85bb-1fca-4140-9eff-1f1098a02340,http://dcat-ap.de/def/licenses/cc-by,Regierung und öffentlicher Sektor,,Köln,https://open.nrw/dataset/nan
Stadt Köln: Bauprojekte in Köln,Bau - Bauprojekte,Bau,Bauprojekte,,7767eaf8-76a9-4b8a-85cb-ac742d549f69,http://dcat-ap.de/def/licenses/cc-by,Regierung und öffentlicher Sektor,,Köln,https://open.nrw/dataset/nan
Gebäude in Düsseldorf über 55 Meter,Bau - Gebäude,Bau,Gebäude,"Der Datensatz enthält die Standorte und weitere Informationen, z. B. Baujahr oder Architekt, der Gebäude über 55 m in Düsseldorf.Die Datei ""Hochhäuser in Düsseldorf.csv"" enthält folgende Spalteninformationen:<ul><li>Latitude: Geographische Breite</li>	<li>Longitude: Geographische Länge</li>	<li> Altitude: Geographische Höhe</li>	<li>Geometry: Standort</li>	<li>Gebäude: Name des Gebäudes</li>	<li>Adresse: Straßenname und Hausnummer</li>	<li>Stadtteil: Name des Stadtteils</li>	<li>Adresserläuterung: zusätzliche Ortsangabe</li>	<li>Gebäudehöhe in Meter: Höhe des Gebäudes in Meter</li>	<li>Stockwerke: Anzahl der Stockwerke im Gebäude</li>	<li>Eröffnet im Jahr: Eröffnungsdatum des Gebäudes</li>	<li>Architekt: Name des/der Architekten</li></ul>",c735212d-a583-4044-92d4-cdb301312641,http://dcat-ap.de/def/licenses/dl-by-de/2.0,Regierung und öffentlicher Sektor,,Düsseldorf,https://open.nrw/dataset/gebaeude-duesseldorf-ueber-55-meter-d
Stadt Bonn: Standorte von Bundeseinrichtungen in Bonn,Behörden - Einrichtungen,Behörden,Einrichtungen,,21e92270-5fd0-42b2-b094-4d16a3f4315c,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Einwohnermeldeämter,Behörden - Einrichtungen,Behörden,Einrichtungen,,c26c02b9-674f-42ac-8ae3-ca43ea773c5c,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Ämter der Stadt Bonn,Behörden - Einrichtungen,Behörden,Einrichtungen,,943a71bd-8a81-4a06-8491-0d7fdf0367a4,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Behördenstandorte in Düsseldorf,Behörden - Einrichtungen,Behörden,Einrichtungen,"Der Datensatz enthält Daten zu den Standorten von Ämtern, Büchereien, Bezirksverwaltungen, Bürgerbüros, Ministerien u.v.m. in der Landeshauptstadt Düsseldorf mit den Informationen, wie sie im Stadtplan bzw. im Geoportal dargestellt sind.Die Dateien enthalten folgende Informationen:<ul><li>LATITUDE: Geographische Breite</li>	<li>LONGITUDE: Geographische Länge</li>	<li>ALTITUDE: Geographische Höhe - hier 0</li>	<li>GEOMETRY: Art der Geoinformation - hier Point</li>	<li>NAME: Name und Träger der Einrichtung</li>	<li>ADRESSE: Straße mit Hausnummer, Postleitzahl mit Stadt und Stadtteil</li>	<li>TELEFON: Telefonnummer der Einrichtung mit internationaler Vorwahl</li>	<li>URL: Link zum Internetauftritt</li>	<li>STADTBEZIRKSNUMMER: Nummer des Stadtbezirks</li>	<li>STADTTEILNUMMER: Nummer des Stadtteils</li></ul> ",99b13b58-da96-4ed6-8190-ea8cdacd3b0c,http://dcat-ap.de/def/licenses/dl-by-de/2.0,Regierung und öffentlicher Sektor,,Düsseldorf,https://open.nrw/dataset/behoerdenstandorte-duesseldorf-d
Bezirksvertretungen und Bezirksverwaltungsstellen in Düsseldorf,Behörden - Einrichtungen,Behörden,Einrichtungen,"Der Datensatz enthält Informationen zu den Bezirksvertretungen und Bezirksverwaltungsstellen in Düsseldorf.Um die Einfluss- und Gestaltungsmöglichkeiten der Bürger auf der gemeindlichen Ebene zu erhöhen, sind die Bezirksvertretungen ins Leben gerufen worden.Die Stadt Düsseldorf hat zehn Bezirksvertretungen eingerichtet. Jede Bezirksvertretung ist 19 Mitglieder stark.Die Zusammensetzung der Gremien wird seit 1979 bei der Kommunalwahl durch einen gesonderten Stimmzettel bestimmt. Die Wahlzeit beträgt fünf Jahre und deckt sich mit der des Rates.Die Dateien enthalten folgende Informationen:<ul><li>LATITUDE: Geographische Breite</li>	<li>LONGITUDE: Geographische Länge</li>	<li>ALTITUDE: Geographische Höhe - hier 0</li>	<li>GEOMETRY: Art der Geoinformation - hier Point</li>	<li>Name der Einrichtung: Name der Einrichtung</li>	<li>Strasse: Straßenname</li>	<li>Hausnummer: Hausnummer</li>	<li>PLZ: Postleitzahl</li>	<li>Ort: Ort - hier Düsseldorf</li></ul>",d29d30d3-146e-496d-ba4b-79e9ebc52ea3,http://dcat-ap.de/def/licenses/dl-by-de/2.0,Regierung und öffentlicher Sektor,,Düsseldorf,https://open.nrw/dataset/bezirksvertretungen-und-bezirksverwaltungsstellen-duesseldorf-d
Stadt Bonn: Dezernatsverteilungsplan,Behörden - Einrichtungen,Behörden,Einrichtungen,,08bc013f-0d9f-4430-8dc6-ee1f9941c77c,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Stadt Bonn: Standorte von Landeseinrichtungen NRW in Bonn,Behörden - Einrichtungen,Behörden,Einrichtungen,,f01cbfdf-b75e-472a-bdf3-1d058bb545ce,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Stadt Moers: Öffnungszeiten der Fachbereiche und Einrichtungen,Behörden - Einrichtungen,Behörden,Einrichtungen,,55bf5893-0ad9-49f8-90c7-6d947c150d96,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Regierung und öffentlicher Sektor,,Stadt Moers,https://open.nrw/dataset/nan
Stadt Bonn: Standorte der Stadtverwaltung Bonn,Behörden - Einrichtungen,Behörden,Einrichtungen,,34b3e312-a24d-4dfc-b5c1-cfb12a4a8401,http://dcat-ap.de/def/licenses/cc-zero,Regierung und öffentlicher Sektor,,Bonn,https://open.nrw/dataset/nan
Stadt Moers: Telefonbuch der Stadtverwaltung,Behörden - Einrichtungen,Behörden,Einrichtungen,,bdf436b7-7f11-4f70-bacc-27503f12d72f,http://dcat-ap.de/def/licenses/dl-zero-de/2_0,Regierung und öffentlicher Sektor,,Stadt Moers,https://open.nrw/dataset/nan
Arbeitslose in den Wohnquartieren Düsseldorf,Bevölkerung - Arbeit,Bevölkerung,Arbeit,"Der Datensatz enthält die Ergebnisse der kleinräumigen Wohnungsmarktbeobachtung in Düsseldorf seit 2014.Auf Basis von neu abgegrenzten Wohnquartieren ermöglicht die kleinräumige Wohnungsmarktbeobachtung eine detaillierte, räumliche Analyse des Status-Quo auf dem Wohnungsmarkt. Sie umfasst Daten seit dem Jahr 2014 und wird jährlich fortgeschrieben.<br /><br />Jedes Wohnquartier ist einem Wohnquartierstypen zugeordnet. Diese Typen leiten sich aus der Bautypologie und dem Baualter sowie den unterschiedlichen Flächennutzungen ab. Die Wohnquartiere charakterisieren damit die unterschiedlichen, kleinräumigen Teilmärkte in Düsseldorf.In eigenen Datensätzen finden Sie Geoinformationen zu den Wohnquartiergrenzen und Schlüsseltabellen zu den Wohnquartieren.Das interaktive Angebot zu den Daten finden Sie auf der Seite des Amtes für Statistik und Wahlen unter: https://www.duesseldorf.de/statistik-und-wahlen/statistik-und-stadtforschung/analysen/wohnungsmarktbeobachtung.html Hier finden Sie auch Begriffserläuterungen und die Datensammlung zur Wohnungsmarktbeobachtung in den Dateiformaten PDF und XLS.Die Dateien enthalten folgende Spalteninformationen:<ul><li>Wohnquartier: Nummer des Quartiers</li>	<li>Jahreszahl: Anzahl der Arbeitslosen im entsprechenden Jahr</li></ul>Anmerkung:Die Zuordnung der Stadtteile zu den Wohnquartieren ergibt sich aus der Quartiersnummerierung. Die ersten beiden Stellen ergeben den Stadtbezirk und den Stadtteil. Die anschließenden Ziffern geben die dann fortlaufende Nummerierung der Wohnquartiere an. ",fa353837-5183-47c7-8ff6-4f53d9dc91a3,http://dcat-ap.de/def/licenses/dl-by-de/2.0,Bevölkerung und Gesellschaft,,Düsseldorf,https://open.nrw/dataset/arbeitslose-den-wohnquartieren-duesseldorf-d
